dcat.created;dcat.issued;dcat.creator;dcat.contributor;dcat.contact_name;dcat.contact_email;dcat.accrualperiodicity;dcat.spatial;dcat.temporal;dcat.granularity;dcat.dataquality;dcat.publisher_type;dcat.conforms_to;dcat.temporal_coverage_start;dcat.temporal_coverage_end;dcat.accessRights;dcat.relation;default.title;default.description;default.theme;default.keyword;default.license;default.license_url;default.language;default.metadata_languages;default.timezone;default.modified;default.modified_updates_on_metadata_change;default.modified_updates_on_data_change;default.data_processed;default.metadata_processed;default.geographic_reference;default.geographic_reference_auto;default.territory;default.geometry_types;default.bbox;default.publisher;default.references;default.records_count;default.attributions;default.source_domain;default.source_domain_title;default.source_domain_address;default.source_dataset;default.shared_catalog;default.federated;default.parent_domain;default.update_frequency;custom.cycle;custom.periodicity;custom.test-meta;datasetid
;;;;;;;;;;;;;;;;;Engagements hors bilan financier CSO de SNCF Réseau depuis 2015;<p>EHB financier depuis 2015 CSO issu du Rapport Financier du groupe SNCF Réseau  au 31 décembre de chaque année (Comptes sociaux de l'EPIC SNCF RÉSEAU)</p><p>Opérations de couvertures négociées de gré à gré. </p>;Réseau;SNCF RESEAU,Comptes Sociaux,EHB;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2022-03-24T09:55:49+00:00;True;True;2021-07-01T16:04:38+00:00;2025-09-19T01:12:06.816000+00:00;world_fr;True;France;;;SNCF Réseau;;47;;;;;;;True;datasncf;;;Annuelle;;engagements-hors-bilan-ifd-devises-2017-cso
;;;;;;;;;;;;;;;;;Charges de personnel CSO de SNCF Réseau depuis 2015;<p>Charges de personnel depuis 2015 issues du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes sociaux de l'EPIC SNCF RÉSEAU)</p>;Réseau;SNCF RESEAU,Comptes Sociaux,Charges,personnel;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2022-03-24T10:05:57+00:00;True;True;2021-07-01T15:39:41+00:00;2025-09-19T01:12:24.544000+00:00;world_fr;True;France;;;SNCF Réseau;;8;;;;;;;True;datasncf;;;Annuelle;;charges-de-personnel-2017-cso
;;;;;;;;;;;;;;;;;Tableau flux de trésorerie CCO du groupe SNCF Réseau depuis 2015;<p>Tableau flux de trésorerie depuis 2015 issu des Rapports Financiers du groupe SNCF Réseau au 31 décembre de chaque année (Comptes consolidés incluant l'EPIC SNCF RESEAU et ses filiales)</p>;Réseau;SNCF RESEAU,Comptes Consolidés,Flux de trésorerie,TFT;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2022-03-24T10:42:48+00:00;True;True;2021-06-29T08:43:10+00:00;2025-09-19T01:13:37.564000+00:00;world_fr;True;France;;;SNCF Réseau;;41;;;;;;;True;datasncf;;;Annuelle;;tableau-flux-de-tresorerie-2017-cco
;;;;;;;;;;;;;;;;;Impôts et taxes CCO du groupe SNCF Réseau depuis 2015;<p>Impôts et taxes depuis 2015 issus du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes consolidés incluant l'EPIC SNCF RESEAU et ses filiales)</p>;Réseau;SNCF RESEAU,Comptes Consolidés,impôts,taxes;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2022-03-24T10:36:20+00:00;True;True;2021-07-01T13:27:20+00:00;2025-09-19T01:13:53.563000+00:00;world_fr;True;France;;;SNCF Réseau;;10;;;;;;;True;datasncf;;;Annuelle;;impots-et-taxes-2017-cco
;;;;;;;;;;;;;;;;;Compte de résultat CSO de SNCF Réseau depuis 2015;<p>Compte de résultat depuis 2015 issu du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes sociaux de l'EPIC SNCF RÉSEAU)</p>;Réseau;SNCF RESEAU,Comptes Sociaux,Compte de résultat;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2022-03-24T10:05:25+00:00;True;True;2021-07-01T14:57:11+00:00;2025-09-19T01:14:07.222000+00:00;world_fr;True;France;;;SNCF Réseau;;21;;;;;;;True;datasncf;;;Annuelle;;compte-de-resultat-2017-cso
;;;;;;;;;;;;;;;;;Bilan actif CCO du groupe SNCF Réseau depuis 2015;<p>Bilan actif depuis 2015 issu des Rapports Financiers du groupe SNCF Réseau au 31 décembre de chaque année (Comptes consolidés incluant l'EPIC SNCF RESEAU et ses filiales).</p>;Réseau;SNCF RESEAU,Comptes Consolidés,Bilan,Actif;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2022-03-24T10:09:10+00:00;True;True;2021-06-29T07:52:22+00:00;2025-09-19T01:12:42.547000+00:00;world_fr;True;France;;;SNCF Réseau;;14;;;;;;;True;datasncf;;;Annuelle;;bilan-actif-2017-cco
;;;;;;;;;;;;;;;;;Ventilation du chiffre d'affaires CSO de SNCF Réseau depuis 2015;<p>Ventilation du chiffre d'affaires depuis 2015 issue du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes sociaux de l'EPIC SNCF RÉSEAU)</p>;Réseau;SNCF RESEAU,Comptes Sociaux,Ventilation, Ventilation Chiffre d'Affaires;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2022-03-24T10:16:42+00:00;True;True;2021-07-01T15:33:54+00:00;2025-09-19T01:11:35.530000+00:00;world_fr;True;France;;;SNCF Réseau;;9;;;;;;;True;datasncf;;;Annuelle;;ventilation-du-chiffre-daffaires-2017-cso
;;;;;;;;;;;;;;;;;Gares équipées du wifi;<p>Liste des gares équipées ou non en wifi</p>;Gares,Digital et innovation;Gares de voyageurs,Gare de voyageurs,wifi,Services en gare;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2017-07-04T15:20:24+00:00;False;True;2017-07-04T15:20:24+00:00;2020-06-11T09:59:31.142000+00:00;world_fr;True;France;;;Gares & Connexions;;2997;;;;;;;False;;;;;;gares-equipees-du-wifi
;;;;;;;;;;;;;;;;;Capitaux propres tableaux CSO de SNCF Réseau depuis 2015;<p>Capitaux propres tableaux depuis 2015 issus du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes sociaux de l'EPIC SNCF RÉSEAU)</p>;Réseau;SNCF RESEAU,Comptes Sociaux,Capitaux propres;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2022-03-24T10:32:38+00:00;True;True;2021-07-01T15:19:10+00:00;2025-09-19T01:12:27.548000+00:00;world_fr;True;France;;;SNCF Réseau;;288;;;;;;;True;datasncf;;;Annuelle;;capitaux-propres-tableaux-2017-cso
;;;;;;;;;;;;;;;;;Créances d'exploitation CSO de SNCF Réseau depuis 2015;<p>Créances d'exploitation depuis 2015 issues du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes sociaux de l'EPIC SNCF RÉSEAU)</p>;Réseau;SNCF RESEAU,Comptes Sociaux,Créances,Exploitation;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2022-03-24T10:04:10+00:00;True;True;2021-07-01T15:12:29+00:00;2025-09-19T01:12:21.543000+00:00;world_fr;True;France;;;SNCF Réseau;;13;;;;;;;True;datasncf;;;Annuelle;;creances-dexploitation-2017-cso
