route_id,service_id,trip_id,trip_headsign,direction_id,block_id,wheelchair_accessible,bikes_allowed
1,1-1-127,1582617439,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617440,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617443,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617444,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617447,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617448,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617451,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617452,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617455,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617456,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617459,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617460,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617463,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617464,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617467,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617468,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617471,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617472,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617475,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617477,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617478,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617481,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617482,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617485,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617486,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617489,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617490,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617493,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617494,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617497,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617498,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617501,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617502,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617505,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617506,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617509,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617511,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617512,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617515,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617516,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617519,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617520,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617523,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617524,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617527,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617528,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617531,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617532,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617535,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617536,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617539,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617541,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617542,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617545,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617546,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617549,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617550,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617553,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617554,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617557,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617558,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617561,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617562,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617565,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617566,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617569,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617570,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617573,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617574,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617577,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617579,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617580,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617583,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617584,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617587,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617588,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617591,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617592,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617595,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617596,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617599,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617600,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617603,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617604,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617607,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617608,MONTPELLIER - Odysseum,0,,,
1,1-1-127,1582617611,MONTPELLIER - Mosson,1,,,
1,1-1-127,1582617614,MONTPELLIER - Odysseum,0,,,
